 ,Voxels,Volume(mm^3),%Volume,Mean,StdDev,Min,Max,Mode,Median
489,21952,175616,100,932.033,318.273,0,2297,915.211,1020
490,21952,175616,100,33125.587,167.462,32767,34046,33111.730,33102
491,21952,175616,100,926.360,357.490,33,2037,1074.141,1044
492,21952,175616,100,919.276,357.833,0,2142,1045.898,1018
493,21952,175616,100,817.492,398.505,0,1991,925.504,966
494,21952,175616,100,631.545,450.609,0,1603,68.879,907
495,21952,175616,100,431.739,286.801,20.800,1580.883,26.894,NaN
496,21952,175616,100,1030.688,194.272,3,2166,1067.602,1045
497,21952,175616,100,949.150,354.316,9,2258,1063.219,1055
498,21952,175616,100,813.701,381.920,0,1766,1069.258,961
499,21952,175616,100,34030.156,599.147,32697,37313,34229.656,34094
500,21952,175616,100,33430.138,422.728,32677,34401,32764.547,33633
501,21952,175616,100,33377.295,444.324,32714,34558,33873.703,33307
502,21952,175616,100,33335.031,477.027,32699,34592,32765.551,33580
503,21952,175616,100,33445.648,446.961,32713,34778,33689.035,33693
504,21952,175616,100,32464.533,1346.232,30671,34583,30762.688,32898
505,21952,175616,100,32455.085,1316.246,30551,34090,30758.363,32934
506,21952,175616,100,33348.608,446.706,32708,34371,32766.465,33252
507,21952,175616,100,33525.865,464.134,32682,34731,32762.039,33758
508,21952,175616,100,33363.884,466.146,32710,34602,32761.734,33586
509,21952,175616,100,33519.269,437.424,32697,34691,32767.102,33710
510,21952,175616,100,33159.157,120.112,32763,33477,33234.352,33194
511,21952,175616,100,33607.352,303.951,32689,34251,33829.992,33717
512,21952,175616,100,33466.993,442.179,32717,34602,32761.180,33698
513,21952,175616,100,33417.287,304.254,32627,34907,33562.156,33449
514,21952,175616,100,33259.355,145.330,32763,34001,33299.789,33278
515,21952,21952000,100,33259.355,145.330,32763,34001,33299.789,33278
516,21952,175616,100,33259.355,145.330,32763,34001,33299.789,33278
517,21952,175616,100,1103.294,229.111,117,2083,1161.438,1107
518,21952,175616,100,32859.122,67.766,32762,33129,32767.734,32864
519,21952,175616,100,33683.750,527.645,32759,35661,32815.680,33744
520,21952,175616,100,33752.166,479.440,32759,35222,32807.105,33848
521,21952,175616,100,33670.575,661.840,32758,35961,32795.535,33711
522,21952,175616,100,33706.316,517.151,32759,35708,32805.078,33787
523,21952,175616,100,33001.312,110.321,32755,33582,33090.969,33013
524,21952,175616,100,33015.301,110.029,32743,33535,33104.969,33029
525,21952,175616,100,32986.083,115.344,32753,33571,33094.898,32989
526,21952,175616,100,32959.505,123.205,32760,33412,32782.922,32977
527,21952,175616,100,32998.469,114.820,32760,33621,33092.965,33044
528,21952,175616,100,33022.450,100.566,32750,33477,33087.941,33052
529,21952,175616,100,33112.665,185.872,32770,34477,33116.734,33104
530,21952,175616,100,33169.924,197.279,32752,34502,33216.844,33186
531,21952,175616,100,33151.838,200.600,32728,34150,32800.211,33192
532,21952,175616,100,987.307,255.231,86,2240,918.992,1032
533,21952,175616,100,33610.550,468.304,32649,35599,32821.852,33608
534,21952,175616,100,34346.304,1058.625,32805,39705,32885.859,34394
535,21952,175616,100,34606.022,1078.456,32708,40057,32937.656,34755
536,21952,175616,100,920.964,259.670,0,1488,1069.500,1001
537,21952,175616,100,967.385,187.689,97,1488,1069.613,1012
538,21952,175616,100,32991.140,166.077,32774,33562,32783.234,33003
539,21952,175616,100,33563.677,299.545,32753,34916,33572.574,33563
540,21952,175616,100,33359.449,399.487,32729,35258,32837.668,33374
541,21952,175616,100,33229.849,431.950,32673,35041,32793.250,33212
542,21952,175616,100,33462.881,353.207,32665,35007,32802.227,33470
543,21952,175616,100,33812.432,414.117,32802,36238,33902.594,33810
544,21952,175616,100,33679.263,626.992,32608,36364,32813.406,33744
545,21952,175616,100,33740.557,562.278,32724,36289,32821.480,33806
546,21952,175616,100,33623.860,621.174,32679,36016,32809.352,33696
547,21952,175616,100,34058.323,876.434,32677,38261,32829.688,34236
548,21952,175616,100,920.726,238.566,0,1426,1052.789,999
549,21952,175616,100,33830.976,372.705,32748,35614,33822.750,33822
550,21952,175616,100,32576.142,439.485,31714,33926,32802.719,32743
551,21952,175616,100,32531.629,394.675,31809,33513,32820.750,32758
552,21952,175616,100,32491.475,450.293,31741,33570,32798.391,32731
553,21952,175616,100,32467.583,400.331,31737,33371,32802.930,32699
554,21952,175616,100,32402.592,431.349,31755,34972,31905.797,32499
555,21952,175616,100,992.120,147.469,0,1910,1081.836,1009
556,21952,175616,100,1029.998,140.053,0,1371,1081.805,1071
557,21952,175616,100,1003.747,157.043,0,1405,916.543,966
558,21952,175616,100,1024.038,308.885,91,2210,1059.449,1059
559,21952,175616,100,900.957,298.230,89,1375,1083.641,1022
560,21952,175616,100,789.037,474.734,0,2924,1199.297,1022
561,21952,175616,100,530.959,480.112,0,3811,29.773,283
562,21952,175616,100,587.162,484.312,0,2130,149.766,327
563,21952,175616,100,751.267,448.786,0,2143,1063.129,985
564,21952,175616,100,547.022,441.056,0,2281,178.203,249
565,21952,175616,100,590.977,415.273,0,1853,144.766,523
566,21952,175616,100,695.900,428.112,0,1697,132.578,865
567,21952,175616,100,754.983,453.921,1,2127,1080.609,973
568,21952,175616,100,854.666,420.852,0,3590,1051.758,1046
569,21952,175616,100,732.707,432.459,0,1989,1072.195,952
570,21952,175616,100,907.061,385.625,0,4160,1202.500,1066
571,21952,175616,100,921.337,334.859,0,3221,1069.473,1058
572,21952,175616,100,549.427,513.507,0,2685,20.977,383
573,21952,175616,100,634.291,431.260,0,1821,1066.992,826
574,21952,175616,100,571.569,463.870,0,1967,84.520,499
575,21952,175616,100,693.136,424.304,0,1442,22.531,923
576,21952,175616,100,1029.283,221.893,0,2215,1124.805,1079
577,21952,175616,100,891.445,385.581,82,2226,1078.625,1045
578,21952,175616,100,32976.466,105.882,32771,33727,32953.984,32961
579,21952,175616,100,33911.183,1074.676,32634,39147,32862.973,33753
580,21952,175616,100,34269.750,884.395,32697,38896,32842.289,34416
581,21952,175616,100,33146.777,188.849,32757,33751,33079.273,33130
582,21952,175616,100,33081.399,161.017,32751,33672,32776.184,33089
583,21952,175616,100,33703.241,469.408,32706,35724,33814.172,33820
584,21952,175616,100,32496.555,381.344,30750,33055,32658.828,32670
585,21952,175616,100,32658.694,277.227,31707,33876,32816.918,32757
586,21952,175616,100,32525.695,406.002,31691,33842,32665.672,32683
587,21952,175616,100,1007.255,326.594,109,2192,1060.996,1056
588,21952,175616,100,910.747,186.285,22,1419,911.496,927
589,21952,175616,100,914.931,291.307,3,1289,1078.016,1038
590,21952,175616,100,33537.924,577.683,32724,35948,32849.938,33515
591,21952,175616,100,33712.672,519.791,32782,35787,32840.691,33723
592,21952,175616,100,33661.009,550.887,32743,35685,32834.938,33697
593,21952,175616,100,33728.248,507.458,32789,35708,33860.820,33765
594,21952,175616,100,33539.672,386.871,32739,35386,32821.719,33577
